"","VARIABLE","TYPE","NGENES","BETA","BETA_STD","SE","P","FULL_NAME","FDR"
"84","KEGG_ARGININE_AND_PROLINE_ME...","SET",5,0.0098573,0.00044057,0.13936,0.47181,"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.885903448275862
"85","KEGG_ECM_RECEPTOR_INTERACTION","SET",26,0.004223,0.00042859,0.072751,0.47686,"KEGG_ECM_RECEPTOR_INTERACTION",0.885903448275862
"86","KEGG_HEDGEHOG_SIGNALING_PATH...","SET",7,0.0068121,0.0003601,0.14084,0.48071,"KEGG_HEDGEHOG_SIGNALING_PATHWAY",0.885903448275862
"87","KEGG_SPHINGOLIPID_METABOLISM","SET",4,0.0096178,0.00038456,0.20967,0.48171,"KEGG_SPHINGOLIPID_METABOLISM",0.885903448275862
"88","KEGG_LONG_TERM_DEPRESSION","SET",16,0.001663,0.00013267,0.095079,0.49302,"KEGG_LONG_TERM_DEPRESSION",0.8964
"89","KEGG_VEGF_SIGNALING_PATHWAY","SET",10,-0.0020498,-0.00012943,0.12443,0.50657,"KEGG_VEGF_SIGNALING_PATHWAY",0.902595555555555
"90","KEGG_VASCULAR_SMOOTH_MUSCLE_...","SET",28,-0.0014044,-0.00014785,0.072636,0.50771,"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.902595555555555
"91","KEGG_GLYCOSPHINGOLIPID_BIOSY...1","SET",4,-0.007745,-0.00030967,0.18896,0.51635,"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.907868131868132
"92","KEGG_WNT_SIGNALING_PATHWAY","SET",28,-0.0066616,-0.00070131,0.072416,0.53664,"KEGG_WNT_SIGNALING_PATHWAY",0.933286956521739
"93","KEGG_NEUROTROPHIN_SIGNALING_...","SET",16,-0.010313,-0.00082274,0.09611,0.54272,"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.933711827956989
"94","KEGG_PROTEIN_EXPORT","SET",5,-0.027036,-0.0012084,0.11626,0.59194,"KEGG_PROTEIN_EXPORT",0.971425641025641
"95","KEGG_DRUG_METABOLISM_OTHER_E...","SET",4,-0.054853,-0.0021932,0.18859,0.61441,"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.971425641025641
"96","KEGG_PROTEASOME","SET",4,-0.052699,-0.0021071,0.16581,0.62468,"KEGG_PROTEASOME",0.971425641025641
"97","KEGG_ABC_TRANSPORTERS","SET",12,-0.033861,-0.0023413,0.10604,0.62525,"KEGG_ABC_TRANSPORTERS",0.971425641025641
"98","KEGG_CELL_CYCLE","SET",11,-0.033993,-0.0022507,0.099225,0.63403,"KEGG_CELL_CYCLE",0.971425641025641
"99","KEGG_AXON_GUIDANCE","SET",32,-0.023822,-0.0026789,0.068824,0.63536,"KEGG_AXON_GUIDANCE",0.971425641025641
"100","KEGG_GLYCOSAMINOGLYCAN_BIOSY...1","SET",6,-0.054259,-0.002656,0.15438,0.63736,"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.971425641025641
"101","KEGG_PURINE_METABOLISM","SET",29,-0.023744,-0.0025434,0.064488,0.64362,"KEGG_PURINE_METABOLISM",0.971425641025641
"102","KEGG_N_GLYCAN_BIOSYNTHESIS","SET",6,-0.064382,-0.0031515,0.15438,0.66165,"KEGG_N_GLYCAN_BIOSYNTHESIS",0.971425641025641
"103","KEGG_RIG_I_LIKE_RECEPTOR_SIG...","SET",4,-0.077076,-0.0030818,0.17982,0.66589,"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.971425641025641
"104","KEGG_VASOPRESSIN_REGULATED_W...","SET",6,-0.088337,-0.0043242,0.16176,0.70748,"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",0.971425641025641
"105","KEGG_PROGESTERONE_MEDIATED_O...","SET",18,-0.048502,-0.0041023,0.088096,0.70901,"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.971425641025641
"106","KEGG_FRUCTOSE_AND_MANNOSE_ME...","SET",4,-0.10861,-0.0043428,0.18898,0.71723,"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.971425641025641
"107","KEGG_GLYCOLYSIS_GLUCONEOGENE...","SET",4,-0.10553,-0.0042194,0.17647,0.72504,"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.971425641025641
"108","KEGG_MAPK_SIGNALING_PATHWAY","SET",46,-0.034601,-0.0046519,0.053869,0.73963,"KEGG_MAPK_SIGNALING_PATHWAY",0.971425641025641
"109","KEGG_UBIQUITIN_MEDIATED_PROT...","SET",15,-0.064287,-0.0049667,0.098977,0.74197,"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",0.971425641025641
"110","KEGG_VIBRIO_CHOLERAE_INFECTI...","SET",11,-0.07588,-0.0050242,0.10854,0.75772,"KEGG_VIBRIO_CHOLERAE_INFECTION",0.971425641025641
"111","KEGG_TASTE_TRANSDUCTION","SET",6,-0.10588,-0.0051829,0.15032,0.75936,"KEGG_TASTE_TRANSDUCTION",0.971425641025641
"112","KEGG_HUNTINGTONS_DISEASE","SET",14,-0.072651,-0.0054236,0.10102,0.76395,"KEGG_HUNTINGTONS_DISEASE",0.971425641025641
"113","KEGG_OOCYTE_MEIOSIS","SET",16,-0.068064,-0.0054298,0.091945,0.77039,"KEGG_OOCYTE_MEIOSIS",0.971425641025641
"114","KEGG_PROXIMAL_TUBULE_BICARBO...","SET",2,-0.1861,-0.0052637,0.25054,0.77116,"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",0.971425641025641
"115","KEGG_PYRIMIDINE_METABOLISM","SET",11,-0.068566,-0.00454,0.091814,0.77237,"KEGG_PYRIMIDINE_METABOLISM",0.971425641025641
"116","KEGG_ANTIGEN_PROCESSING_AND_...","SET",6,-0.12537,-0.0061368,0.1618,0.78074,"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.971425641025641
"117","KEGG_GLYCEROPHOSPHOLIPID_MET...","SET",6,-0.12008,-0.0058782,0.15437,0.78165,"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.971425641025641
"118","KEGG_OXIDATIVE_PHOSPHORYLATI...","SET",7,-0.11403,-0.006028,0.14405,0.78567,"KEGG_OXIDATIVE_PHOSPHORYLATION",0.971425641025641
"119","KEGG_SELENOAMINO_ACID_METABO...","SET",2,-0.21473,-0.0060735,0.26714,0.78921,"KEGG_SELENOAMINO_ACID_METABOLISM",0.971425641025641
"120","KEGG_HEMATOPOIETIC_CELL_LINE...","SET",16,-0.077517,-0.0061839,0.093048,0.79756,"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.971425641025641
"121","KEGG_MATURITY_ONSET_DIABETES...","SET",2,-0.18612,-0.0052644,0.21729,0.80411,"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG",0.971425641025641
"122","KEGG_METABOLISM_OF_XENOBIOTI...","SET",3,-0.1874,-0.0064903,0.21388,0.80949,"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.971425641025641
"123","KEGG_ADIPOCYTOKINE_SIGNALING...","SET",15,-0.08723,-0.0067392,0.098884,0.81111,"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.971425641025641
"124","KEGG_LONG_TERM_POTENTIATION","SET",14,-0.092483,-0.0069042,0.10005,0.82231,"KEGG_LONG_TERM_POTENTIATION",0.971425641025641
"125","KEGG_PHENYLALANINE_METABOLISM","SET",2,-0.24871,-0.0070345,0.26712,0.82404,"KEGG_PHENYLALANINE_METABOLISM",0.971425641025641
"126","KEGG_GAP_JUNCTION","SET",26,-0.063481,-0.0064427,0.067024,0.82817,"KEGG_GAP_JUNCTION",0.971425641025641
"127","KEGG_AMINOACYL_TRNA_BIOSYNTH...","SET",4,-0.17345,-0.0069353,0.18163,0.83016,"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.971425641025641
"128","KEGG_ARRHYTHMOGENIC_RIGHT_VE...","SET",26,-0.07098,-0.0072037,0.074186,0.83061,"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.971425641025641
"129","KEGG_LEUKOCYTE_TRANSENDOTHEL...","SET",16,-0.086925,-0.0069345,0.090688,0.83105,"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.971425641025641
"130","KEGG_ENDOCYTOSIS","SET",27,-0.070272,-0.0072663,0.072594,0.83343,"KEGG_ENDOCYTOSIS",0.971425641025641
"131","KEGG_SYSTEMIC_LUPUS_ERYTHEMA...","SET",5,-0.17174,-0.0076758,0.16742,0.84746,"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.971425641025641
"132","KEGG_GALACTOSE_METABOLISM","SET",2,-0.27444,-0.0077622,0.26711,0.84784,"KEGG_GALACTOSE_METABOLISM",0.971425641025641
"133","KEGG_ERBB_SIGNALING_PATHWAY","SET",14,-0.10272,-0.0076683,0.099861,0.84812,"KEGG_ERBB_SIGNALING_PATHWAY",0.971425641025641
"134","KEGG_EPITHELIAL_CELL_SIGNALI...","SET",12,-0.11792,-0.0081531,0.11129,0.85527,"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.971425641025641
"135","KEGG_PATHOGENIC_ESCHERICHIA_...","SET",7,-0.13135,-0.0069432,0.12148,0.86014,"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.971425641025641
"136","KEGG_GRAFT_VERSUS_HOST_DISEA...","SET",2,-0.29036,-0.0082127,0.26086,0.86711,"KEGG_GRAFT_VERSUS_HOST_DISEASE",0.971425641025641
"137","KEGG_GLYCEROLIPID_METABOLISM","SET",6,-0.19122,-0.0093602,0.16494,0.87677,"KEGG_GLYCEROLIPID_METABOLISM",0.971425641025641
"138","KEGG_ASTHMA","SET",2,-0.30455,-0.008614,0.26086,0.87844,"KEGG_ASTHMA",0.971425641025641
"139","KEGG_TYROSINE_METABOLISM","SET",4,-0.2214,-0.0088524,0.18895,0.87929,"KEGG_TYROSINE_METABOLISM",0.971425641025641
"140","KEGG_PPAR_SIGNALING_PATHWAY","SET",9,-0.1594,-0.0095508,0.1303,0.88935,"KEGG_PPAR_SIGNALING_PATHWAY",0.971425641025641
"141","KEGG_GLUTATHIONE_METABOLISM","SET",3,-0.25081,-0.0086866,0.20359,0.89095,"KEGG_GLUTATHIONE_METABOLISM",0.971425641025641
"142","KEGG_PROPANOATE_METABOLISM","SET",5,-0.18931,-0.0084611,0.14858,0.89863,"KEGG_PROPANOATE_METABOLISM",0.971425641025641
"143","KEGG_GNRH_SIGNALING_PATHWAY","SET",23,-0.093739,-0.0089533,0.073418,0.8991,"KEGG_GNRH_SIGNALING_PATHWAY",0.971425641025641
"144","KEGG_T_CELL_RECEPTOR_SIGNALI...","SET",13,-0.13509,-0.0097203,0.1048,0.90124,"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.971425641025641
"145","KEGG_SNARE_INTERACTIONS_IN_V...","SET",5,-0.21309,-0.0095242,0.15948,0.9092,"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0.971425641025641
"146","KEGG_CYSTEINE_AND_METHIONINE...","SET",2,-0.36009,-0.010185,0.26707,0.91115,"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.971425641025641
"147","KEGG_DRUG_METABOLISM_CYTOCHR...","SET",3,-0.29106,-0.010081,0.21383,0.9132,"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.971425641025641
"148","KEGG_PYRUVATE_METABOLISM","SET",3,-0.3055,-0.010581,0.21247,0.92469,"KEGG_PYRUVATE_METABOLISM",0.971425641025641
"149","KEGG_STARCH_AND_SUCROSE_META...","SET",4,-0.30641,-0.012251,0.20925,0.92838,"KEGG_STARCH_AND_SUCROSE_METABOLISM",0.971425641025641
"150","KEGG_CELL_ADHESION_MOLECULES...","SET",32,-0.098769,-0.011107,0.065808,0.93324,"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.971425641025641
"151","KEGG_ALLOGRAFT_REJECTION","SET",3,-0.32218,-0.011159,0.21465,0.93326,"KEGG_ALLOGRAFT_REJECTION",0.971425641025641
"152","KEGG_INOSITOL_PHOSPHATE_META...","SET",8,-0.19029,-0.010751,0.12482,0.93624,"KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.971425641025641
"153","KEGG_DILATED_CARDIOMYOPATHY","SET",28,-0.11097,-0.011683,0.07095,0.94104,"KEGG_DILATED_CARDIOMYOPATHY",0.971425641025641
"154","KEGG_HOMOLOGOUS_RECOMBINATION","SET",3,-0.39628,-0.013725,0.25228,0.94182,"KEGG_HOMOLOGOUS_RECOMBINATION",0.971425641025641
"155","KEGG_HYPERTROPHIC_CARDIOMYOP...","SET",24,-0.12284,-0.011982,0.077258,0.94401,"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.971425641025641
"156","KEGG_CARDIAC_MUSCLE_CONTRACT...","SET",11,-0.18265,-0.012094,0.11286,0.94714,"KEGG_CARDIAC_MUSCLE_CONTRACTION",0.971425641025641
"157","KEGG_AUTOIMMUNE_THYROID_DISE...","SET",4,-0.35756,-0.014297,0.1866,0.97227,"KEGG_AUTOIMMUNE_THYROID_DISEASE",0.98512
"158","KEGG_PHOSPHATIDYLINOSITOL_SI...","SET",13,-0.20611,-0.01483,0.10007,0.98023,"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.98512
