"","VARIABLE","TYPE","NGENES","BETA","BETA_STD","SE","P","FULL_NAME","FDR"
"21","KEGG_NON_SMALL_CELL_LUNG_CAN...","SET",6,0.16778,0.014771,0.14359,0.12151,"KEGG_NON_SMALL_CELL_LUNG_CANCER",0.60755
"22","KEGG_FOCAL_ADHESION","SET",19,0.090979,0.014132,0.081833,0.1333,"KEGG_FOCAL_ADHESION",0.636204545454545
"23","KEGG_LEISHMANIA_INFECTION","SET",3,0.19893,0.012409,0.20269,0.16334,"KEGG_LEISHMANIA_INFECTION",0.712619444444444
"24","KEGG_AXON_GUIDANCE","SET",10,0.11254,0.012758,0.11509,0.16423,"KEGG_AXON_GUIDANCE",0.712619444444444
"25","KEGG_COLORECTAL_CANCER","SET",3,0.18804,0.01173,0.2027,0.17694,"KEGG_COLORECTAL_CANCER",0.712619444444444
"26","KEGG_OLFACTORY_TRANSDUCTION","SET",6,0.12534,0.011035,0.14363,0.19157,"KEGG_OLFACTORY_TRANSDUCTION",0.712619444444444
"27","KEGG_NEUROACTIVE_LIGAND_RECE...","SET",8,0.097784,0.009928,0.12673,0.2203,"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",0.712619444444444
"28","KEGG_FC_GAMMA_R_MEDIATED_PHA...","SET",8,0.096013,0.0097482,0.12456,0.22054,"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.712619444444444
"29","KEGG_PRION_DISEASES","SET",3,0.15034,0.0093778,0.20275,0.22931,"KEGG_PRION_DISEASES",0.712619444444444
"30","KEGG_P53_SIGNALING_PATHWAY","SET",3,0.1321,0.0082402,0.17884,0.23017,"KEGG_P53_SIGNALING_PATHWAY",0.712619444444444
"31","KEGG_TRYPTOPHAN_METABOLISM","SET",4,0.12136,0.0087354,0.17167,0.23992,"KEGG_TRYPTOPHAN_METABOLISM",0.712619444444444
"32","KEGG_GLYCOSAMINOGLYCAN_BIOSY...","SET",4,0.12326,0.0088725,0.17572,0.24161,"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.712619444444444
"33","KEGG_CYTOSOLIC_DNA_SENSING_P...","SET",2,0.11593,0.0059082,0.18097,0.26099,"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.712619444444444
"34","KEGG_WNT_SIGNALING_PATHWAY","SET",6,0.093511,0.008233,0.15153,0.26868,"KEGG_WNT_SIGNALING_PATHWAY",0.712619444444444
"35","KEGG_ARGININE_AND_PROLINE_ME...","SET",2,0.15259,0.0077769,0.24816,0.26941,"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.712619444444444
"36","KEGG_GAP_JUNCTION","SET",8,0.070691,0.0071772,0.1164,0.27191,"KEGG_GAP_JUNCTION",0.712619444444444
"37","KEGG_PRIMARY_IMMUNODEFICIENCY","SET",3,0.1188,0.0074106,0.20277,0.27907,"KEGG_PRIMARY_IMMUNODEFICIENCY",0.712619444444444
"38","KEGG_ERBB_SIGNALING_PATHWAY","SET",4,0.095386,0.006866,0.17574,0.29373,"KEGG_ERBB_SIGNALING_PATHWAY",0.712619444444444
"39","KEGG_ENDOMETRIAL_CANCER","SET",4,0.086127,0.0061995,0.16223,0.29783,"KEGG_ENDOMETRIAL_CANCER",0.712619444444444
"40","KEGG_PYRIMIDINE_METABOLISM","SET",2,0.094855,0.0048342,0.18099,0.30018,"KEGG_PYRIMIDINE_METABOLISM",0.712619444444444
"41","KEGG_GLYCOSPHINGOLIPID_BIOSY...","SET",3,0.12213,0.0076181,0.23347,0.30053,"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.712619444444444
"42","KEGG_N_GLYCAN_BIOSYNTHESIS","SET",3,0.10441,0.006513,0.20279,0.30339,"KEGG_N_GLYCAN_BIOSYNTHESIS",0.712619444444444
"43","KEGG_RENIN_ANGIOTENSIN_SYSTEM","SET",2,0.12304,0.0062705,0.24551,0.30821,"KEGG_RENIN_ANGIOTENSIN_SYSTEM",0.712619444444444
"44","KEGG_NATURAL_KILLER_CELL_MED...","SET",5,0.072372,0.0058205,0.15032,0.31517,"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.712619444444444
"45","KEGG_TYPE_II_DIABETES_MELLIT...","SET",4,0.081711,0.0058816,0.17575,0.32106,"KEGG_TYPE_II_DIABETES_MELLITUS",0.712619444444444
"46","KEGG_ECM_RECEPTOR_INTERACTION","SET",14,0.043682,0.0058438,0.094614,0.32222,"KEGG_ECM_RECEPTOR_INTERACTION",0.712619444444444
"47","KEGG_LYSINE_DEGRADATION","SET",3,0.089818,0.0056027,0.19667,0.32401,"KEGG_LYSINE_DEGRADATION",0.712619444444444
"48","KEGG_PROTEIN_EXPORT","SET",3,0.089875,0.0056062,0.20932,0.33389,"KEGG_PROTEIN_EXPORT",0.712619444444444
"49","KEGG_BUTANOATE_METABOLISM","SET",2,0.10566,0.0053851,0.2482,0.33522,"KEGG_BUTANOATE_METABOLISM",0.712619444444444
"50","KEGG_ADHERENS_JUNCTION","SET",7,0.051476,0.004892,0.12695,0.34261,"KEGG_ADHERENS_JUNCTION",0.712619444444444
"51","KEGG_ALANINE_ASPARTATE_AND_G...","SET",2,0.094899,0.0048365,0.2482,0.35116,"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.712619444444444
"52","KEGG_SMALL_CELL_LUNG_CANCER","SET",7,0.047935,0.0045555,0.13315,0.35947,"KEGG_SMALL_CELL_LUNG_CANCER",0.712619444444444
"53","KEGG_BASAL_TRANSCRIPTION_FAC...","SET",2,0.08724,0.0044461,0.25046,0.36385,"KEGG_BASAL_TRANSCRIPTION_FACTORS",0.712619444444444
"54","KEGG_CHRONIC_MYELOID_LEUKEMIA","SET",4,0.059959,0.0043159,0.17568,0.36649,"KEGG_CHRONIC_MYELOID_LEUKEMIA",0.712619444444444
"55","KEGG_BLADDER_CANCER","SET",2,0.063015,0.0032115,0.21404,0.38427,"KEGG_BLADDER_CANCER",0.72050625
"56","KEGG_THYROID_CANCER","SET",2,0.063015,0.0032115,0.21404,0.38427,"KEGG_THYROID_CANCER",0.72050625
"57","KEGG_DORSO_VENTRAL_AXIS_FORM...","SET",3,0.055756,0.003478,0.20281,0.39173,"KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.721607894736842
"58","KEGG_PATHWAYS_IN_CANCER","SET",22,0.015647,0.0026101,0.074011,0.41631,"KEGG_PATHWAYS_IN_CANCER",0.74633671875
"59","KEGG_JAK_STAT_SIGNALING_PATH...","SET",8,0.02661,0.0027017,0.13982,0.42456,"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.74633671875
"60","KEGG_ABC_TRANSPORTERS","SET",4,0.028919,0.0020816,0.17577,0.43468,"KEGG_ABC_TRANSPORTERS",0.74633671875
"61","KEGG_OOCYTE_MEIOSIS","SET",4,0.022161,0.0015952,0.14922,0.44099,"KEGG_OOCYTE_MEIOSIS",0.74633671875
"62","KEGG_PROGESTERONE_MEDIATED_O...","SET",4,0.022161,0.0015952,0.14922,0.44099,"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.74633671875
"63","KEGG_FC_EPSILON_RI_SIGNALING...","SET",4,0.01991,0.0014331,0.17569,0.4549,"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.74633671875
"64","KEGG_NEUROTROPHIN_SIGNALING_...","SET",4,0.019916,0.0014336,0.17577,0.45491,"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.74633671875
"65","KEGG_MELANOMA","SET",6,4.92e-06,4.34e-07,0.13219,0.49999,"KEGG_MELANOMA",0.807676153846154
"66","KEGG_MELANOGENESIS","SET",6,-0.0062802,-0.00055292,0.13153,0.51903,"KEGG_MELANOGENESIS",0.825729545454545
"67","KEGG_LEUKOCYTE_TRANSENDOTHEL...","SET",7,-0.014604,-0.0013879,0.13437,0.54326,"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.851377611940298
"68","KEGG_LONG_TERM_POTENTIATION","SET",5,-0.022258,-0.0017901,0.15733,0.55623,"KEGG_LONG_TERM_POTENTIATION",0.858884558823529
"69","KEGG_UBIQUITIN_MEDIATED_PROT...","SET",2,-0.06123,-0.0031206,0.24822,0.59739,"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",0.877601351351351
"70","KEGG_CHEMOKINE_SIGNALING_PAT...","SET",9,-0.028564,-0.003074,0.11128,0.60126,"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.877601351351351
"71","KEGG_VIBRIO_CHOLERAE_INFECTI...","SET",4,-0.044613,-0.0032113,0.16205,0.60842,"KEGG_VIBRIO_CHOLERAE_INFECTION",0.877601351351351
"72","KEGG_BASAL_CELL_CARCINOMA","SET",2,-0.070654,-0.0036009,0.24822,0.612,"KEGG_BASAL_CELL_CARCINOMA",0.877601351351351
"73","KEGG_BETA_ALANINE_METABOLISM","SET",2,-0.043329,-0.0022082,0.14703,0.61584,"KEGG_BETA_ALANINE_METABOLISM",0.877601351351351
"74","KEGG_VASCULAR_SMOOTH_MUSCLE_...","SET",11,-0.03132,-0.0037214,0.10383,0.6185,"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.877601351351351
"75","KEGG_PPAR_SIGNALING_PATHWAY","SET",2,-0.088189,-0.0044945,0.24821,0.63877,"KEGG_PPAR_SIGNALING_PATHWAY",0.890123684210526
"76","KEGG_RIBOSOME","SET",2,-0.091853,-0.0046812,0.24821,0.64428,"KEGG_RIBOSOME",0.890123684210526
"77","KEGG_ADIPOCYTOKINE_SIGNALING...","SET",5,-0.084136,-0.0067666,0.17059,0.68899,"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.934580769230769
"78","KEGG_VIRAL_MYOCARDITIS","SET",6,-0.072686,-0.0063995,0.14303,0.69426,"KEGG_VIRAL_MYOCARDITIS",0.934580769230769
"79","KEGG_CYTOKINE_CYTOKINE_RECEP...","SET",13,-0.057843,-0.0074617,0.10494,0.70916,"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.940732258064516
"80","KEGG_HEDGEHOG_SIGNALING_PATH...","SET",3,-0.11786,-0.0073518,0.20278,0.71937,"KEGG_HEDGEHOG_SIGNALING_PATHWAY",0.940732258064516
"81","KEGG_MAPK_SIGNALING_PATHWAY","SET",16,-0.05449,-0.0077826,0.088129,0.73171,"KEGG_MAPK_SIGNALING_PATHWAY",0.940732258064516
"82","KEGG_COMPLEMENT_AND_COAGULAT...","SET",5,-0.10371,-0.0083407,0.16333,0.73718,"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.940732258064516
"83","KEGG_STEROID_HORMONE_BIOSYNT...","SET",2,-0.16395,-0.0083554,0.24816,0.74548,"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.940732258064516
"84","KEGG_HEMATOPOIETIC_CELL_LINE...","SET",7,-0.095371,-0.0090635,0.13257,0.76393,"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.940732258064516
"85","KEGG_CARDIAC_MUSCLE_CONTRACT...","SET",2,-0.18241,-0.0092965,0.24814,0.76875,"KEGG_CARDIAC_MUSCLE_CONTRACTION",0.940732258064516
"86","KEGG_APOPTOSIS","SET",3,-0.15626,-0.0097474,0.20274,0.77945,"KEGG_APOPTOSIS",0.940732258064516
"87","KEGG_FATTY_ACID_METABOLISM","SET",2,-0.2041,-0.010402,0.24812,0.7945,"KEGG_FATTY_ACID_METABOLISM",0.940732258064516
"88","KEGG_AMYOTROPHIC_LATERAL_SCL...","SET",3,-0.16946,-0.010571,0.20272,0.79826,"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.940732258064516
"89","KEGG_GNRH_SIGNALING_PATHWAY","SET",8,-0.10553,-0.010714,0.11807,0.81412,"KEGG_GNRH_SIGNALING_PATHWAY",0.940732258064516
"90","KEGG_PATHOGENIC_ESCHERICHIA_...","SET",3,-0.18635,-0.011624,0.19997,0.82414,"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.940732258064516
"91","KEGG_ENDOCYTOSIS","SET",5,-0.1473,-0.011847,0.15723,0.82543,"KEGG_ENDOCYTOSIS",0.940732258064516
"92","KEGG_CELL_ADHESION_MOLECULES...","SET",10,-0.11163,-0.012655,0.11612,0.83165,"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.940732258064516
"93","KEGG_ALZHEIMERS_DISEASE","SET",9,-0.11372,-0.012238,0.11753,0.83322,"KEGG_ALZHEIMERS_DISEASE",0.940732258064516
"94","KEGG_CELL_CYCLE","SET",2,-0.25338,-0.012913,0.24805,0.84632,"KEGG_CELL_CYCLE",0.945357446808511
"95","KEGG_INTESTINAL_IMMUNE_NETWO...","SET",3,-0.23745,-0.014812,0.20263,0.87918,"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",0.96779375
"96","KEGG_TASTE_TRANSDUCTION","SET",2,-0.29771,-0.015173,0.24799,0.88484,"KEGG_TASTE_TRANSDUCTION",0.96779375
"97","KEGG_VALINE_LEUCINE_AND_ISOL...","SET",3,-0.18746,-0.011693,0.13546,0.91659,"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.973370792079208
"98","KEGG_CALCIUM_SIGNALING_PATHW...","SET",10,-0.15296,-0.01734,0.108,0.92145,"KEGG_CALCIUM_SIGNALING_PATHWAY",0.973370792079208
"99","KEGG_ARRHYTHMOGENIC_RIGHT_VE...","SET",9,-0.16677,-0.017948,0.11744,0.92199,"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.973370792079208
"100","KEGG_PARKINSONS_DISEASE","SET",2,-0.36862,-0.018787,0.24786,0.93131,"KEGG_PARKINSONS_DISEASE",0.973370792079208
"101","KEGG_HYPERTROPHIC_CARDIOMYOP...","SET",8,-0.18536,-0.018819,0.12146,0.93629,"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.973370792079208
"102","KEGG_HUNTINGTONS_DISEASE","SET",4,-0.30145,-0.021699,0.17542,0.95693,"KEGG_HUNTINGTONS_DISEASE",0.98411
"103","KEGG_PHOSPHATIDYLINOSITOL_SI...","SET",3,-0.32398,-0.020209,0.17523,0.96756,"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.98411
"104","KEGG_DILATED_CARDIOMYOPATHY","SET",10,-0.21001,-0.023807,0.10348,0.97862,"KEGG_DILATED_CARDIOMYOPATHY",0.98411
"105","KEGG_INOSITOL_PHOSPHATE_META...","SET",2,-0.43479,-0.022159,0.20211,0.98411,"KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.98411
